# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-09-03 22:27:41 EDT       (sdww02)
#
# Data for the following 25 site(s) are contained in this file
#    USGS 02240783 HATCHET CREEK NR FAIRBANKS,FL
#    USGS 02240806 LITTLE HATCHET CREEK AT GAINESVILLE,FL
#    USGS 02240900 NEWNANS LAKE NR GAINESVILLE, FLA.
#    USGS 02240902 PRAIRIE CREEK NEAR GAINESVILLE, FL
#    USGS 02240954 HOGTOWN CREEK NEAR ARREDONDO, FL
#    USGS 02240956 HAILE SINK NEAR ARREDONDO, FL
#    USGS 02240958 LAKE KANAPAHA AT ARREDONDO, FLA.
#    USGS 02240976 TUMBLIN CREEK AT GAINESVILLE,FL
#    USGS 02240980 BIVANS ARM NR GAINESVILLE, FLA.
#    USGS 02240982 BIVANS ARM AT GAINESVILE,FL
#    USGS 02240988 SWEETWATER BRANCH AT GAINESVILLE,FL
#    USGS 02241000 CAMPS CANAL NEAR ROCHELLE, FL
#    USGS 02241900 LOCHLOOSA CREEK AT GROVE PARK, FLA.
#    USGS 02242400 LOCHLOOSA LAKE AT LOCHLOOSA, FLA.
#    USGS 02242450 ORANGE LAKE AT ORANGE LAKE, FLA.
#    USGS 02242451 ORANGE LAKE OUTLET NEAR CITRA, FL
#    USGS 02242460 ORANGE CREEK NEAR ISLAND GROVE, FL
#    USGS 02242500 LOCHLOOSA SLOUGH NR LOCHLOOSA, FLA.
#    USGS 02320610 LITTLE SANTA FE LAKE NR WALDO FLA
#    USGS 02321500 SANTA FE RIVER AT WORTHINGTON SPRINGS, FLA.
#    USGS 02321900 PARENERS BRANCH NEAR BLAND, FL.
#    USGS 02321975 SANTA FE RIVER AT US HWY 441 NEAR HIGH SPRINGS,FL.
#    USGS 02322016 BLUES CREEK NEAR GAINSVILLE, FL
#    USGS 02322049 BAD DOG BRANCH NEAR ALACHUA, FL
#    USGS 02322050 SHILOH RUN NEAR ALACHUA, FL
# -----------------------------------------------------------------------------------
#
# Data provided for site 02321500
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#    03   00065     00003     Gage height, feet (Mean)
#    05   72020     00003     Elevation above NGVD 1929, feet (Mean), Tallahassee records
#    06   63160     00003     Stream water level elevation above NAVD 1988, in feet (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd	03_00065_00003	03_00065_00003_cd	06_63160_00003	06_63160_00003_cd
USGS	02321500	2005-02-27	98	A	10.05	A		
USGS	02321500	2005-02-28	250	A	11.81	A		
USGS	02321500	2005-03-01	281	A	12.11	A		
USGS	02321500	2005-03-02	279	A	12.09	A		
USGS	02321500	2005-03-03	278	A	12.08	A		
USGS	02321500	2005-03-04	275	A	12.06	A		
USGS	02321500	2005-03-05	254	A	11.86	A		
USGS	02321500	2005-03-06	228	A	11.61	A		
USGS	02321500	2005-03-07	206	A	11.39	A		
USGS	02321500	2005-03-08	218	A	11.50	A		
USGS	02321500	2005-03-09	253	A	11.85	A		
USGS	02321500	2005-03-10	229	A	11.61	A		
USGS	02321500	2005-03-11	203	A	11.35	A		
USGS	02321500	2005-03-12	180	A	11.11	A		
USGS	02321500	2005-03-13	157	A	10.85	A		
USGS	02321500	2005-03-14	137	A	10.60	A		
USGS	02321500	2005-03-15	121	A	10.41	A		
USGS	02321500	2005-03-16	144	A	10.68	A		
USGS	02321500	2005-03-17	298	A	12.26	A		
USGS	02321500	2005-03-18	352	A	12.72	A		
USGS	02321500	2005-03-19	363	A	12.82	A		
USGS	02321500	2005-03-20	365	A	12.83	A		
USGS	02321500	2005-03-21	353	A	12.73	A		
USGS	02321500	2005-03-22	335	A	12.58	A		
USGS	02321500	2005-03-23	322	A	12.47	A		
USGS	02321500	2005-03-24	310	A	12.37	A		
USGS	02321500	2005-03-25	536	A	13.58	A		
USGS	02321500	2005-03-26	2000	A	17.35	A		
USGS	02321500	2005-03-27	3180	A	18.72	A		
USGS	02321500	2005-03-28	3550	A	19.05	A		
USGS	02321500	2005-03-29	3260	A	18.77	A		
USGS	02321500	2005-03-30	2900	A	18.40	A		
USGS	02321500	2005-03-31	2470	A	17.92	A		
USGS	02321500	2005-04-01	2070	A	17.41	A		
USGS	02321500	2005-04-02	1980	A	17.29	A		
USGS	02321500	2005-04-03	2000	A	17.32	A		
USGS	02321500	2005-04-04	2040	A	17.37	A		
USGS	02321500	2005-04-05	1980	A	17.28	A		
USGS	02321500	2005-04-06	1770	A	16.98	A		
USGS	02321500	2005-04-07	1620	A	16.75	A		
USGS	02321500	2005-04-08	1800	A	17.02	A		
USGS	02321500	2005-04-09	2060	A	17.39	A		
USGS	02321500	2005-04-10	2310	A	17.72	A		
USGS	02321500	2005-04-11	2180	A	17.56	A		
USGS	02321500	2005-04-12	1970	A	17.27	A		
USGS	02321500	2005-04-13	1780	A	17.00	A		
USGS	02321500	2005-04-14	1670	A	16.83	A		
USGS	02321500	2005-04-15	1720	A	16.90	A		
USGS	02321500	2005-04-16	1570	A	16.67	A		
USGS	02321500	2005-04-17	1330	A	16.25	A		
USGS	02321500	2005-04-18	1140	A	15.84	A		
USGS	02321500	2005-04-19	976	A	15.45	A		
USGS	02321500	2005-04-20	831	A	15.07	A		
USGS	02321500	2005-04-21	698	A	14.66	A		
USGS	02321500	2005-04-22	592	A	14.24	A		
USGS	02321500	2005-04-23	531	A	13.84	A		
USGS	02321500	2005-04-24	476	A	13.46	A		
USGS	02321500	2005-04-25	422	A	13.06	A		
USGS	02321500	2005-04-26	381	A	12.74	A		
USGS	02321500	2005-04-27	386	A	12.78	A		
USGS	02321500	2005-04-28	369	A	12.64	A		
USGS	02321500	2005-04-29	337	A	12.38	A		
USGS	02321500	2005-04-30	311	A	12.16	A		
USGS	02321500	2005-05-01	314	A	12.18	A		
USGS	02321500	2005-05-02	301	A	12.07	A		
USGS	02321500	2005-05-03	282	A	11.90	A		
USGS	02321500	2005-05-04	296	A	12.01	A		
USGS	02321500	2005-05-05	612	A	14.09	A		
USGS	02321500	2005-05-06	1110	A	15.77	A		
USGS	02321500	2005-05-07	1240	A	16.08	A		
USGS	02321500	2005-05-08	1140	A	15.85	A		
USGS	02321500	2005-05-09	997	A	15.51	A		
USGS	02321500	2005-05-10	828	A	15.05	A		
USGS	02321500	2005-05-11	662	A	14.54	A		
USGS	02321500	2005-05-12	568	A	14.09	A		
USGS	02321500	2005-05-13	545	A	13.94	A		
USGS	02321500	2005-05-14	489	A	13.55	A		
USGS	02321500	2005-05-15	388	A	12.79	A		
USGS	02321500	2005-05-16	302	A	12.07	A		
USGS	02321500	2005-05-17	239	A	11.49	A		
USGS	02321500	2005-05-18	198	A	11.08	A		
USGS	02321500	2005-05-19	174	A	10.82	A		
USGS	02321500	2005-05-20	155	A	10.60	A		
USGS	02321500	2005-05-21	136	A	10.37	A		
USGS	02321500	2005-05-22	118	A	10.14	A		
USGS	02321500	2005-05-23	107	A	10.0	A		
USGS	02321500	2005-05-24	101	A	9.91	A		
USGS	02321500	2005-05-25	94	A	9.80	A		
USGS	02321500	2005-05-26	81	A	9.61	A		
USGS	02321500	2005-05-27	70	A	9.44	A		
USGS	02321500	2005-05-28	62	A	9.29	A		
USGS	02321500	2005-05-29	54	A	9.15	A		
USGS	02321500	2005-05-30	47	A	9.01	A		
USGS	02321500	2005-05-31	53	A	9.13	A		
USGS	02321500	2005-06-01	92	A	9.76	A		
USGS	02321500	2005-06-02	108	A	10.01	A		
USGS	02321500	2005-06-03	105	A	9.97	A		
USGS	02321500	2005-06-04	170	A	10.75	A		
USGS	02321500	2005-06-05	260	A	11.69	A		
USGS	02321500	2005-06-06	222	A	11.33	A		
USGS	02321500	2005-06-07	170	A	10.78	A		
USGS	02321500	2005-06-08	137	A	10.39	A		
USGS	02321500	2005-06-09	144	A	10.47	A		
USGS	02321500	2005-06-10	172	A	10.80	A		
USGS	02321500	2005-06-11	214	A	11.25	A		
USGS	02321500	2005-06-12	283	A	11.90	A		
USGS	02321500	2005-06-13	413	A	12.99	A		
USGS	02321500	2005-06-14	570	A	14.06	A		
USGS	02321500	2005-06-15	942	A	15.36	A		
USGS	02321500	2005-06-16	1090	A	15.74	A		
USGS	02321500	2005-06-17	1100	A	15.75	A		
USGS	02321500	2005-06-18	988	A	15.48	A		
USGS	02321500	2005-06-19	820	A	15.03	A		
USGS	02321500	2005-06-20	652	A	14.49	A		
USGS	02321500	2005-06-21	528	A	13.82	A		
USGS	02321500	2005-06-22	442	A	13.21	A		
USGS	02321500	2005-06-23	396	A	12.86	A		
USGS	02321500	2005-06-24	355	A	12.53	A		
USGS	02321500	2005-06-25	308	A	12.13	A		
USGS	02321500	2005-06-26	278	A	11.86	A		
USGS	02321500	2005-06-27	255	A	11.65	A		
USGS	02321500	2005-06-28	277	A	11.81	A		
USGS	02321500	2005-06-29	363	A	12.49	A		
USGS	02321500	2005-06-30	615	A	14.14	A		
USGS	02321500	2005-07-01	954	A	15.22	A		
USGS	02321500	2005-07-02	1180	A	15.72	A		
USGS	02321500	2005-07-03	1390	A	16.12	A		
USGS	02321500	2005-07-04	1620	A	16.50	A		
USGS	02321500	2005-07-05	1920	A	16.94	A		
USGS	02321500	2005-07-06	2000	A	17.03	A		
USGS	02321500	2005-07-07	1810	A	16.74	A		
USGS	02321500	2005-07-08	1570	A	16.35	A		
USGS	02321500	2005-07-09	1370	A	15.97	A		
USGS	02321500	2005-07-10	1350	A	15.92	A		
USGS	02321500	2005-07-11	1470	A	16.16	A		
USGS	02321500	2005-07-12	1520	A	16.27	A		
USGS	02321500	2005-07-13	1520	A	16.25	A		
USGS	02321500	2005-07-14	1420	A	16.06	A		
USGS	02321500	2005-07-15	1300	A	15.82	A		
USGS	02321500	2005-07-16	1300	A	15.82	A		
USGS	02321500	2005-07-17	1270	A	15.77	A		
USGS	02321500	2005-07-18	1150	A	15.51	A		
USGS	02321500	2005-07-19	956	A	15.03	A		
USGS	02321500	2005-07-20	746	A	14.44	A		
USGS	02321500	2005-07-21	586	A	13.83	A		
USGS	02321500	2005-07-22	501	A	13.26	A		
USGS	02321500	2005-07-23	451	A	12.91	A		
USGS	02321500	2005-07-24	424	A	12.70	A		
USGS	02321500	2005-07-25	376	A	12.33	A		
USGS	02321500	2005-07-26	345	A	12.08	A		
USGS	02321500	2005-07-27	323	A	11.89	A		
USGS	02321500	2005-07-28	294	A	11.64	A		
USGS	02321500	2005-07-29	265	A	11.37	A		
USGS	02321500	2005-07-30	271	A	11.43	A		
USGS	02321500	2005-07-31	276	A	11.47	A		
USGS	02321500	2005-08-01	395	A	12.48	A		
USGS	02321500	2005-08-02	359	A	12.19	A		
USGS	02321500	2005-08-03	333	A	11.98	A		
USGS	02321500	2005-08-04	364	A	12.23	A		
USGS	02321500	2005-08-05	395	A	12.48	A		
USGS	02321500	2005-08-06	498	A	13.24	A		
USGS	02321500	2005-08-07	589	A	13.86	A		
USGS	02321500	2005-08-08	656	A	14.16	A		
USGS	02321500	2005-08-09	695	A	14.29	A		
USGS	02321500	2005-08-10	678	A	14.23	A		
USGS	02321500	2005-08-11	564	A	13.69	A		
USGS	02321500	2005-08-12	475	A	13.07	A		
USGS	02321500	2005-08-13	387	A	12.41	A		
USGS	02321500	2005-08-14	317	A	11.84	A		
USGS	02321500	2005-08-15	264	A	11.37	A		
USGS	02321500	2005-08-16	226	A	11.00	A		
USGS	02321500	2005-08-17	195	A	10.68	A		
USGS	02321500	2005-08-18	169	A	10.39	A		
USGS	02321500	2005-08-19	146	A	10.13	A		
USGS	02321500	2005-08-20	127	A	9.89	A		
USGS	02321500	2005-08-21	113	A	9.71	A		
USGS	02321500	2005-08-22	102	A	9.56	A		
USGS	02321500	2005-08-23	112	A	9.69	A		
USGS	02321500	2005-08-24	164	A	10.34	A		
USGS	02321500	2005-08-25	181	A	10.53	A		
USGS	02321500	2005-08-26	165	A	10.35	A		
USGS	02321500	2005-08-27	157	A	10.26	A		
USGS	02321500	2005-08-28	167	A	10.37	A		
USGS	02321500	2005-08-29	205	A	10.79	A		
USGS	02321500	2005-08-30	245	A	11.18	A		
USGS	02321500	2005-08-31	308	A	11.76	A		
USGS	02321500	2005-09-01	338	A	12.02	A		
USGS	02321500	2005-09-02	356	A	12.17	A		
USGS	02321500	2005-09-03	362	A	12.22	A		
USGS	02321500	2005-09-04	304	A	11.72	A		
USGS	02321500	2005-09-05	241	A	11.14	A		
USGS	02321500	2005-09-06	196	A	10.69	A		
USGS	02321500	2005-09-07	185	A	10.57	A		
USGS	02321500	2005-09-08	182	A	10.54	A		
USGS	02321500	2005-09-09	173	A	10.43	A		
USGS	02321500	2005-09-10	170	A	10.41	A		
USGS	02321500	2005-09-11	162	A	10.31	A		
USGS	02321500	2005-09-12	147	A	10.13	A		
USGS	02321500	2005-09-13	128	A	9.90	A		
USGS	02321500	2005-09-14	108	A	9.63	A		
USGS	02321500	2005-09-15	90	A	9.37	A		
USGS	02321500	2005-09-16	75	A	9.15	A		
USGS	02321500	2005-09-17	64	A	8.97	A		
USGS	02321500	2005-09-18	56	A	8.81	A		
USGS	02321500	2005-09-19	49	A	8.69	A		
USGS	02321500	2005-09-20	43	A	8.58	A		
USGS	02321500	2005-09-21	40	A	8.50	A		
USGS	02321500	2005-09-22	44	A	8.59	A		
USGS	02321500	2005-09-23	64	A	8.97	A		
USGS	02321500	2005-09-24	71	A	9.09	A		
USGS	02321500	2005-09-25	64	A	8.97	A		
USGS	02321500	2005-09-26	56	A	8.82	A		
USGS	02321500	2005-09-27	49	A	8.68	A		
USGS	02321500	2005-09-28	42	A	8.56	A		
USGS	02321500	2005-09-29	39	A	8.48	A		
USGS	02321500	2005-09-30	37	A	8.44	A		
USGS	02321500	2005-10-01	34	A	8.38	A		
USGS	02321500	2005-10-02	33	A	8.35	A		
USGS	02321500	2005-10-03	34	A	8.38	A		
USGS	02321500	2005-10-04	43	A	8.56	A		
USGS	02321500	2005-10-05	64	A	8.97	A		
USGS	02321500	2005-10-06	114	A	9.70	A		
USGS	02321500	2005-10-07	361	A	12.16	A		
USGS	02321500	2005-10-08	563	A	13.68	A		
USGS	02321500	2005-10-09	753	A	14.46	A		
USGS	02321500	2005-10-10	801	A	14.61	A		
USGS	02321500	2005-10-11	659	A	14.16	A		
USGS	02321500	2005-10-12	541	A	13.54	A		
USGS	02321500	2005-10-13	453	A	12.91	A		
USGS	02321500	2005-10-14	373	A	12.30	A		
USGS	02321500	2005-10-15	305	A	11.73	A		
USGS	02321500	2005-10-16	250	A	11.23	A		
USGS	02321500	2005-10-17	205	A	10.78	A		
USGS	02321500	2005-10-18	170	A	10.40	A		
USGS	02321500	2005-10-19	143	A	10.08	A		
USGS	02321500	2005-10-20	122	A	9.82	A		
USGS	02321500	2005-10-21	107	A	9.62	A		
USGS	02321500	2005-10-22	99	A	9.51	A		
USGS	02321500	2005-10-23	111	A	9.68	A		
USGS	02321500	2005-10-24	149	A	10.16	A		
USGS	02321500	2005-10-25	151	A	10.18	A		
USGS	02321500	2005-10-26	144	A	10.10	A		
USGS	02321500	2005-10-27	124	A	9.85	A		
USGS	02321500	2005-10-28	104	A	9.58	A		
USGS	02321500	2005-10-29	90	A	9.37	A		
USGS	02321500	2005-10-30	78	A	9.19	A		
USGS	02321500	2005-10-31	69	A	9.05	A		
USGS	02321500	2005-11-01	63	A	8.95	A		
USGS	02321500	2005-11-02	59	A	8.87	A		
USGS	02321500	2005-11-03	54	A	8.78	A		
USGS	02321500	2005-11-04	49	A	8.70	A		
USGS	02321500	2005-11-05	46	A	8.62	A		
USGS	02321500	2005-11-06	43	A	8.56	A		
USGS	02321500	2005-11-07	40	A	8.51	A		
USGS	02321500	2005-11-08	38	A	8.46	A		
USGS	02321500	2005-11-09	36	A	8.42	A		
USGS	02321500	2005-11-10	34	A	8.38	A		
USGS	02321500	2005-11-11	32	A	8.33	A		
USGS	02321500	2005-11-12	30	A	8.28	A		
USGS	02321500	2005-11-13	28	A	8.24	A		
USGS	02321500	2005-11-14	27	A	8.21	A		
USGS	02321500	2005-11-15	27	A	8.20	A		
USGS	02321500	2005-11-16	26	A	8.19	A		
USGS	02321500	2005-11-17	25	A	8.16	A		
USGS	02321500	2005-11-18	23	A	8.11	A		
USGS	02321500	2005-11-19	22	A	8.08	A		
USGS	02321500	2005-11-20	22	A	8.07	A		
USGS	02321500	2005-11-21	22	A	8.08	A		
USGS	02321500	2005-11-22	22	A	8.07	A		
USGS	02321500	2005-11-23	21	A	8.05	A		
USGS	02321500	2005-11-24	20	A	8.03	A		
USGS	02321500	2005-11-25	20	A	8.01	A		
USGS	02321500	2005-11-26	19	A	7.99	A		
USGS	02321500	2005-11-27	19	A	7.99	A		
USGS	02321500	2005-11-28	22	A	8.06	A		
USGS	02321500	2005-11-29	40	A	8.50	A		
USGS	02321500	2005-11-30	48	A	8.67	A		
USGS	02321500	2005-12-01	42	A	8.55	A		
USGS	02321500	2005-12-02	38	A	8.46	A		
USGS	02321500	2005-12-03	35	A	8.39	A		
USGS	02321500	2005-12-04	31	A	8.31	A		
USGS	02321500	2005-12-05	29	A	8.26	A		
USGS	02321500	2005-12-06	32	A	8.32	A		
USGS	02321500	2005-12-07	32	A	8.33	A		
USGS	02321500	2005-12-08	37	A	8.44	A		
USGS	02321500	2005-12-09	73	A	9.10	A		
USGS	02321500	2005-12-10	100	A	9.52	A		
USGS	02321500	2005-12-11	105	A	9.60	A		
USGS	02321500	2005-12-12	101	A	9.54	A		
USGS	02321500	2005-12-13	87	A	9.34	A		
USGS	02321500	2005-12-14	74	A	9.13	A		
USGS	02321500	2005-12-15	67	A	9.01	A		
USGS	02321500	2005-12-16	64	A	8.97	A		
USGS	02321500	2005-12-17	99	A	9.42	A		
USGS	02321500	2005-12-18	980	A	14.85	A		
USGS	02321500	2005-12-19	2140	A	17.21	A		
USGS	02321500	2005-12-20	3150	A	18.46	A		
USGS	02321500	2005-12-21	3240	A	18.56	A		
USGS	02321500	2005-12-22	3040	A	18.35	A		
USGS	02321500	2005-12-23	2710	A	17.97	A		
USGS	02321500	2005-12-24	2280	A	17.42	A		
USGS	02321500	2005-12-25	1930	A	16.92	A		
USGS	02321500	2005-12-26	1660	A	16.49	A		
USGS	02321500	2005-12-27	1440	A	16.10	A		
USGS	02321500	2005-12-28	1270	A	15.77	A		
USGS	02321500	2005-12-29	1130	A	15.45	A		
USGS	02321500	2005-12-30	995	A	15.13	A		
USGS	02321500	2005-12-31	871	A	14.81	A		
USGS	02321500	2006-01-01	762	A	14.49	A		
USGS	02321500	2006-01-02	777	A	14.52	A		
USGS	02321500	2006-01-03	1830	A	16.76	A		
USGS	02321500	2006-01-04	1900	A	16.88	A		
USGS	02321500	2006-01-05	1850	A	16.80	A		
USGS	02321500	2006-01-06	1800	A	16.73	A		
USGS	02321500	2006-01-07	1610	A	16.41	A		
USGS	02321500	2006-01-08	1450	A	16.12	A		
USGS	02321500	2006-01-09	1320	A	15.86	A		
USGS	02321500	2006-01-10	1180	A	15.58	A		
USGS	02321500	2006-01-11	1040	A	15.25	A		
USGS	02321500	2006-01-12	908	A	14.91	A		
USGS	02321500	2006-01-13	787	A	14.57	A		
USGS	02321500	2006-01-14	701	A	14.31	A		
USGS	02321500	2006-01-15	617	A	14.00	A		
USGS	02321500	2006-01-16	565	A	13.70	A		
USGS	02321500	2006-01-17	527	A	13.44	A		
USGS	02321500	2006-01-18	498	A	13.24	A		
USGS	02321500	2006-01-19	460	A	12.97	A		
USGS	02321500	2006-01-20	390	A	12.44	A		
USGS	02321500	2006-01-21	334	A	11.98	A		
USGS	02321500	2006-01-22	304	A	11.73	A		
USGS	02321500	2006-01-23	285	A	11.56	A		
USGS	02321500	2006-01-24	271	A	11.43	A		
USGS	02321500	2006-01-25	257	A	11.30	A		
USGS	02321500	2006-01-26	240	A	11.13	A		
USGS	02321500	2006-01-27	222	A	10.96	A		
USGS	02321500	2006-01-28	207	A	10.80	A		
USGS	02321500	2006-01-29	195	A	10.68	A		
USGS	02321500	2006-01-30	214	A	10.88	A		
USGS	02321500	2006-01-31	243	A	11.17	A		
USGS	02321500	2006-02-01	249	A	11.23	A		
USGS	02321500	2006-02-02	246	A	11.19	A		
USGS	02321500	2006-02-03	577	A	13.52	A		
USGS	02321500	2006-02-04	1160	A	15.51	A		
USGS	02321500	2006-02-05	1670	A	16.51	A		
USGS	02321500	2006-02-06	2110	A	17.19	A		
USGS	02321500	2006-02-07	2240	A	17.37	A		
USGS	02321500	2006-02-08	2060	A	17.12	A		
USGS	02321500	2006-02-09	1830	A	16.78	A		
USGS	02321500	2006-02-10	1600	A	16.40	A		
USGS	02321500	2006-02-11	1390	A	16.02	A		
USGS	02321500	2006-02-12	1220	A	15.66	A		
USGS	02321500	2006-02-13	1060	A	15.29	A		
USGS	02321500	2006-02-14	906	A	14.90	A		
USGS	02321500	2006-02-15	773	A	14.53	A		
USGS	02321500	2006-02-16	654	A	14.15	A		
USGS	02321500	2006-02-17	546	A	13.57	A		
USGS	02321500	2006-02-18	463	A	12.99	A		
USGS	02321500	2006-02-19	412	A	12.61	A		
USGS	02321500	2006-02-20	377	A	12.33	A		
USGS	02321500	2006-02-21	350	A	12.12	A		
